title,location,price,flat area,flat status,year old,no. of bathrooms,description
1 BHK Apartment for sale,Nala Sopara Mumbai,4400000,595,Ready to move,10 - 11 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:A 1 bhk property is available for sale in Aakash Builders And Developers Mumbai Gagan Dream, Nala Sopara, Mumbai. It has an area of 595 sqft . The property is available at a price of Rs. 44.00 lac . I...Developed by Aakash Builders And Developers Mumbai"
2 BHK Apartment for sale,Nala Sopara Mumbai,7500000,950,Ready to move,10 - 11 years old,2 Bathrooms,"2 BHK Property for sale in Nala Sopara Mumbai:Itâs a 2 bhk multistorey apartment situated in Aakash Builders And Developers Mumbai Gagan Dream, Nala Sopara. It is an unfurnished property. It has gymnasium as well as children's play area. The proj...Developed by Aakash Builders And Developers Mumbai"
1 BHK Apartment for sale,Nala Sopara Mumbai,3200000,580,Ready to move,10 - 11 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Itâs a 1 bhk multistorey apartment situated in MAAD Realtors And Infra Shanti Nagar, Nala Sopara. It has a salable area of 580 sqft and is available at a price of Rs. 5,517 per sqft. The house is unfu...Developed by MAAD Realtors And Infra"
1 BHK Apartment for sale,Nala Sopara Mumbai,2500000,595,Ready to move,8 - 9 years old,2 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Shree Adeshwar Corporation Anand Heights. It has an area of 595 sqft with a carpet area of 390 sqft . The property is avai...Developed by Shree Adeshwar Corporation
2 BHK Apartment for sale,Nala Sopara Mumbai,4350000,925,Ready to move,8 - 9 years old,2 Bathrooms,"2 BHK Property for sale in Nala Sopara Mumbai:This spacious 2 bhk multistorey apartment is available for sale and is located in Anchor Realty Park, one of the most prestigious projects of Nala Sopara. It has a built-up area of 925 sqft and is pri...Developed by Anchor Realty"
1 BHK Apartment for sale,Vasai Mumbai,3500000,665,Ready to move,7 - 8 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Kamya Group Kalash, Vasai, Mumbai. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide...Developed by Kamya Group"
1 BHK Apartment for sale,Nala Sopara Mumbai,3500000,625,Ready to move,12 - 13 years old,2 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Nala Sopara. It has an area of 625 sqft . The property is available at a price of Rs. 35.00 lac . It is a semi-furnished p...Developed by Sheth And Chopra
1 BHK Apartment for sale,Vasai Mumbai,3600000,650,Ready to move,10 - 11 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Yashwant Builders And Developers Empire, Vasai, Mumbai. It has an area of 650 sqft . The property is available at a price of Rs. 36.00 lac . The house is...Developed by Yashwant Builders And Developers"
1 BHK Apartment for sale,Nala Sopara Mumbai,3600000,625,Ready to move,8 - 9 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Anchor Realty Park, one of the most prestigious projects of Nala Sopara. It has an area of 625 sqft . The property is ...Developed by Anchor Realty"
2 BHK Apartment for sale,Vasai Mumbai,6500000,990,Ready to move,2 - 3 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Future Build Valmiki Heights Vasai. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortab...Developed by Future Build
1 BHK Apartment for sale,Vasai Mumbai,3500000,680,Ready to move,11 - 12 years old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Angel Girnar Height. It has an area of 680 sqft with a carpet area of 420 sqft . The property is available at a price of R...Developed by Angel
2 BHK Apartment for sale,Vasai Mumbai,6700000,1040,Ready to move,4 - 5 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 bhk property is available for sale in Yashwant Infra Emrald Tower Building 3 Wing C, Vasai, Mumbai. It has an area of 1040 sqft with a carpet area of 675 sqft . The property is available at a pric...Developed by Yashwant Infra"
1 BHK Apartment for sale,Nala Sopara Mumbai,4000000,660,Ready to move,3 - 4 years old,2 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:It has an area of 660 sqft with a carpet area of 410 sqft . The property is available at a price of Rs. 40.00 lac . The house is unfurnished. Its main door is facing east direction. This residential p...Developed by Sai Crystal Developers
3 BHK Apartment for sale,Vasai Mumbai,5500000,925,Ready to move,14 - 15 years old,2 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Rashmi Housing Rashmi Residency, Vasai, Mumbai. It has a salable area of 925 sqft and is available at a price of Rs. 5,945 per sqft. The house is furnish...Developed by Rashmi Housing"
1 BHK Apartment for sale,Vasai Mumbai,3900000,665,Ready to move,4 - 5 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:It has a salable area of 665 sqft and is available at a price of Rs. 5,864 per sqft. It is an unfurnished property. It is east facing property. This residential property is ready-to-move-in. The time ...Developed by DGS Group"
1 BHK Apartment for sale,Nala Sopara Mumbai,3200000,620,Ready to move,3 - 4 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:It has a salable area of 620 sqft and is available at a price of Rs. 5,161 per sqft. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comforta...Developed by Shree Laxmi Sahara Builders And Developers"
